name,ring,quadrant,isNew,description
Vagrant,assess,platforms,TRUE,"<p>The tool <strong><a href=""https://www.vagrantup.com/"">Vagrant</a></strong> makes it simple for teams to distribute virtualized development environments constructed using version-control friendly descriptors. Vagrant helps eliminate environmental differences in development and reduce troubleshooting waste.</p>"
Packer,assess,platforms,TRUE,"<p>The thing holding this technique back was the difficulty in building images, especially when targeting more than one platform. <strong><a href=""https://www.packer.io/"">Packer</a></strong> solves this, using your configuration management tool of choice to create images for a number of platforms including AWS, Rackspace, DigitalOcean and even Docker and Vagrant, although we have found the VMWare support to be problematic.</p>"
Gatling,adopt,tools,TRUE,"<p>Gatling is another newer player in the automated performance testing space. It is similar to Locust and is much lighter weight than the older options such as JMeter and Grinder. Built on Scala, the DSL provides extensive functionality out of the box including easily configured data feeds and response assertions. In cases where customization is needed, it is easy to drop into Scala to provide extensions. The default generation of numerous dynamic views of the data via Highcharts adds to its appeal.</p>"
OWASP ZAP,adopt,tools,TRUE,<p>The OWASP Zed Attack Proxy (ZAP) is one of the world’s most popular free security tools and is actively maintained by hundreds of international volunteers*. It can help you automatically find security vulnerabilities in your web applications while you are developing and testing your applications. Its also a great tool for experienced pentesters to use for manual security testing</p>
Apache JMeter,adopt,tools,TRUE,"<p>Apache JMeter may be used to test performance both on static and dynamic resources, Web dynamic applications. It can be used to simulate a heavy load on a server, group of servers, network or object to test its strength or to analyze overall performance under different load types.</p>"
SonarQube,adopt,tools,TRUE,"<p>Measuring software internal quality is still a mystery, even though many source code metrics have been around for years. The problem with those metrics is they usually only capture one aspect of quality. We must consult many metrics to come to a conclusion about the overall quality of our code. Sonar is an integrated tool for checking, tracking and visualizing those metrics. It not only combines metrics together, but also mixes them with historical measures, giving us a better insight into the internal quality of the codebase.</p>"
Microfocus Mobile Center,adopt,tools,TRUE,"<p><strong><a href=""https://www.microfocus.com/en-us/products/mobile-testing/overview"">Micro Focus Mobile Center</a></strong> software is a mobile testing and monitoring solution enabling you to test and monitor any mobile app or mobile web page on real devices or emulators, across real-world network conditions, and release apps that delight users.</p>"
Selenium,adopt,tools,TRUE,"<p>Selenium is a portable framework for testing web applications. Selenium provides a playback tool for authoring functional tests without the need to learn a test scripting language (Selenium IDE). It also provides a test domain-specific language (Selenese) to write tests in a number of popular programming languages, including C#, Groovy, Java, Perl, PHP, Python, Ruby and Scala. The tests can then run against most modern web browsers.</p>"
Elasticsearch,adopt,tools,TRUE,"<p>Elasticsearch is a search engine based on the <strong><a href=""https://lucene.apache.org/"">Lucene</a></strong> library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. </p>"
ELK Stack,adopt,tools,TRUE,"<p>""ELK"" is the acronym for three open source projects: Elasticsearch, Logstash, and Kibana. <strong><a href=""https://www.elastic.co/"">Elasticsearch</a></strong> is a search and analytics engine. <strong><a href=""https://www.elastic.co/products/logstash"">Logstash</a></strong> is a server‑side data processing pipeline that ingests data from multiple sources simultaneously, transforms it, and then sends it to a ""stash"" like Elasticsearch. <strong><a href=""https://www.elastic.co/products/kibana"">Kibana</a></strong> lets users visualize data with charts and graphs in Elasticsearch.<p>"
Octopus,adopt,tools,TRUE,"<p>Windows infrastructure automation should be adopted, however it still remains more difficult than automation on a Unix platform. Tools like Chef and Puppet are increasing their support, but there are also Windows specific solutions being developed like Octopus. Octopus allows automated deployment of your ASP.NET applications and Windows services and decreases dependency on PowerShell. It can be used with both NuGet using Octopak and TeamCity to create a full build, package, and deployment pipeline.</p>"
Harbor,adopt,tools,TRUE,"<p><strong><a href=""https://goharbor.io/"">Harbor</a></strong> is an open source trusted cloud native registry project that stores, signs, and scans content. Harbor extends the open source Docker Distribution by adding the functionalities usually required by users such as security, identity and management. Having a registry closer to the build and run environment can improve the image transfer efficiency. Harbor supports replication of images between registries, and also offers advanced security features such as user management, access control and activity auditing.</p>"
Helm,adopt,tools,TRUE,"<p><a href=""http://helm.sh""><strong>Helm</strong></a> is a package manager for <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. It comes with a repository of curated Kubernetes applications that are maintained in the official <a href=""https://github.com/helm/charts"">Charts repository</a>. Helm has two components: a command line utility called Helm and a cluster component called Tiller. Securing a Kubernetes cluster is a wide and nuanced topic, but we highly recommend setting up Tiller in a role-based access control (RBAC) environment. Helm's <a href=""/radar/techniques/templating-in-yaml"">YAML templating</a> can be difficult to understand, and Tiller still has some rough edges. Helm 3 is expected to address these issues.</p>"
Grafana,adopt,tools,TRUE,"<p>When combining modern techniques and architecture styles, such as <a href=""/radar/techniques/microservices"">microservices</a>, <a href=""/radar/techniques/devops"">DevOps</a> and <a href=""/radar/techniques/qa-in-production"">QA in production</a>, development teams need increasingly sophisticated monitoring. Simply looking a graphs of disk usage and CPU utilization is not sufficient anymore, and many teams collect application and business-specific metrics using tools such a Graphite and Kibana. <strong><a href=""http://grafana.org/"">Grafana</a></strong> makes it easy to create useful and elegant dashboards for data from a number of sources. A particularly useful feature allows timescales of different graphs to be synchronized, which helps with spotting correlations in the underlying data. The templating system that is being added shows a lot promise and will likely make managing sets of similar services even easier. Based on its strengths, Grafana has become our default choice in this category.</p>"
Nuxeo,adopt,tools,TRUE,"<p>The <a href=""http://www.nuxeo.com/products/content-management-platform/"" rel=""nofollow"">Nuxeo Platform</a> is an open source customizable and extensible content management platform for building business applications. It provides the foundation for developing <a href=""http://www.nuxeo.com/solutions/document-management/"" rel=""nofollow"">document management</a>, <a href=""http://www.nuxeo.com/solutions/digital-asset-management/"" rel=""nofollow"">digital asset management</a>, <a href=""http://www.nuxeo.com/solutions/case-management/"" rel=""nofollow"">case management application</a> and <a href=""http://www.nuxeo.com/solutions/advanced-knowledge-base/"" rel=""nofollow"">knowledge management</a>. You can easily add features using ready-to-use addons or by extending the platform using its extension point system.</p>"
Confluence,adopt,tools,TRUE,"<p>A confluence is a collaboration tool. It is used to help teams to collaborate and share knowledge efficiently. Using Confluence, users can create blogs and pages which can be commented on and edited by all the members of a team.
For example, we will be able to create a roadmap easily. We can also create notes containing a checklist, create a knowledge base and manage everything centrally. We can also attach files, like our excel planning and display it on a page for our convenience.</p>"
Katalon Studio,adopt,tools,TRUE,"<p><a href=""https://www.katalon.com/"">Katalon Studio</a> is a free-license tool released in January 2015 with a Selenium-based engine. Mostly, Katalon is designed to create and reuse automated test scripts for UI without coding. Katalon Studio allows running&nbsp;<a href=""https://www.altexsoft.com/blog/engineering/striking-a-balance-between-manual-and-automated-testing-when-two-is-better-than-one/"">automated tests</a> of UI elements, including pop-ups, iFrames, and wait-time. The tool can be launched on Microsoft Windows, macOS, and Linux.Katalon’s main advantage is that it’s easy to deploy and has a wider set of integrations compared to Selenium, the market leader. Katalon has dual scripting interfaces for users with different programming skills. This means that testers with limited technical knowledge can use a simpler user interface that doesn’t require writing code.</p>"
AppDynamics,adopt,tools,TRUE,<p>Focuses on managing the performance and availability of applications across cloud computing environments as well as inside the data center.</p>
DevOps Reports,adopt,tools,TRUE,<p>An intranet tool is used for tracking quality reports.</p>
Spinnaker,trial,tools,TRUE,"<p><a href=""http://techblog.netflix.com/2015/11/global-continuous-delivery-with.html"">Netflix</a> has open sourced <a href=""http://www.spinnaker.io/""><strong>Spinnaker</strong></a>, its microservices continuous delivery (CD) platform. Compared to other CI/CD platforms, Spinnaker implements cluster management and deployment of baked images to the cloud as first-class features. It supports out-of-the-box deployment and cluster management for multiple cloud providers such as Google Cloud Platform, AWS and <a href=""/radar/platforms/pivotal-cloud-foundry"">Pivotal Cloud Foundry</a>. You can integrate Spinnaker with Jenkins to run a Jenkins job build. We like Spinnaker's opinionated approach for deploying microservices to the cloud—with the exception that Spinnaker's pipelines are created via a user interface (UI) and cannot be configured as code.</p>"
Ansible,trial,tools,TRUE,"<p>Ansible is a <strong><a href=""https://www.plutora.com/blog/configuration-management"">configuration management</a></strong>, application deployment, and IT orchestration system. One of Ansible’s strong points is having a very simple, human readable language – it allows users very fine, precise control over what happens on what machines at what times.</p>"
Kong,trial,tools,TRUE,"<p><a href=""http://getkong.org/"">Kong</a> is an <a href=""http://github.com/Kong/kong"">open source API gateway</a> which also comes as an <a href=""http://konghq.com/kong-enterprise-edition/"">enterprise product</a> integrating with proprietary API analytics and a developer portal. Kong can be deployed, in a variety of configurations, as an edge API gateway, as an internal API proxy, or even as a sidecar in a <a href=""/radar/techniques/service-mesh"">service mesh</a> configuration. <a href=""http://openresty.org/en/"">OpenResty</a>, through its Nginx modules, provides a strong and performant foundation, with Lua plugins for extensions. Kong can either use PostgreSQL for single-region deployments or Cassandra for multiregion configurations.</p>"
Jenkins,trial,tools,TRUE,"<p>Jenkins is an free and open source automation server written in Java. Jenkins helps to automate the non-human part of the software development process, with continuous integration and facilitating technical aspects of continuous delivery</p>"
Terraform,assess,tools,TRUE,"<p><strong><a href=""https://www.terraform.io/"">Terraform</a></strong>, is rapidly becoming a de facto choice for creating and managing cloud infrastructures by writing declarative definitions. The configuration of the servers instantiated by Terraform is usually left to Puppet, Chef or Ansible. The syntax of its files is quite readable and because it supports a number of cloud providers while making no attempt to provide an artificial abstraction across those providers. The active community will add support for the latest features from most cloud providers. </p>"
SonarLint,assess,tools,TRUE,"<p><a href=""http://www.sonarlint.org/""><strong>SonarLint</strong></a> lives only in the IDE (IntelliJ, Eclipse and Visual Studio). Its purpose is to give instantaneous feedback as you type your code. For this, it concentrates on what code you are adding or updating.</p>"
Appium,assess,tools,TRUE,"<p>Mobile test automation is becoming increasingly important. <a href=""http://appium.io""><b>Appium</b></a> is a test automation framework that can test mobile web, mobile native and mobile hybrid applications on iOS and Android. We have used this in multiple projects and have seen significant gains.&nbsp;At the core, Appium is a webserver that exposes a REST API, receiving connections from a client, listening for commands, executing those commands on a mobile device and responding with an HTTP response representing the result of the command execution. It allows tests to be written against iOS and Android&nbsp;using the same API. Appium is open source with easy setup using npm.</p>"
Prometheus,assess,tools,TRUE,"<p><a href=""http://prometheus.io/""><strong>Prometheus</strong></a>, the monitoring and time series database tool originally developed by Soundcloud. Prometheus primarily supports a pull-based HTTP model but it also supports alerts, making it an active part of your operational toolset. As of this writing, Prometheus 2.0 is in prerelease, and continues to evolve. Prometheus developers have focused their efforts on core time series databases and the variety of metrics available. <a href=""/radar/tools/grafana"">Grafana</a> has become the dashboard visualization tool of choice for Prometheus users and support for Grafana ships with the tool. Our teams also find that Prometheus monitoring nicely complements the indexing and search capabilities of an Elastic Stack.</p>"
TeamCity,assess,tools,TRUE,"<p>TeamCity is Java-based CI server package.  The TeamCity installation and configuration is quick and easy.  The fact that it is Java-based should not be an impediment to .NET development shops.  The TeamCity server is a primary component, but the browser-hosted interface serves as the primary way to administer TeamCity users, agents, projects, and build configurations.</p>"
OpenTracing,assess,tools,TRUE,"<p>As monolithic applications are being replaced with more complex <a href=""/radar/techniques/microservices"">(micro)service</a> ecosystems, tracing requests across multiple services is becoming the norm. With majority contribution from LightStep and Uber <a href=""http://opentracing.io/""><strong>OpenTracing</strong></a> is rapidly becoming the de facto standard for distributed tracing. There is a growing number of <a href=""http://opentracing.io/documentation/pages/supported-tracers"">tracers</a> supporting OpenTracing standard, including <a href=""/radar/tools/zipkin"">Zipkin</a>, <a href=""/radar/languages-and-frameworks/instana"">Instana</a>, and <a href=""https://uber.github.io/jaeger/"">Jaeger</a>. OpenTracing currently provides vendor-neutral implementation in multiple languages including: Go, JavaScript, Java, Python, Objective-C, C#, C++, Ruby and PHP.</p>"
TIG Stack,hold,tools,TRUE,"<p>TIG stands for: Telegraf => An agent for collecting, processing, aggregating, and producing metrics. InfluxDB => An open source database, optimized for large amounts of time-stamped data. Grafana =>  An open source data visualization tool."
Flutter,adopt,language-and-frameworks,TRUE,"<p><a href=""http://flutter.io/""><strong>Flutter</strong></a> is a cross-platform framework that enables you to write native mobile apps in <a href=""/radar/languages-and-frameworks/google-dart"">Dart</a>. It benefits from Dart and can be compiled into native code and communicates with the target platform without bridge and context switching—something that can cause performance bottlenecks in frameworks such as <a href=""/radar/languages-and-frameworks/react-native"">React Native</a> or <a href=""/radar/languages-and-frameworks/weex"">Weex</a>. Flutter's hot-reload feature is impressive and provides superfast visual feedback when editing code. Currently, Flutter is still in beta, but we'll continue keeping an eye on it to see how its ecosystem matures.</p>"
TypeScript,adopt,language-and-frameworks,TRUE,"<p><strong><a href=""https://www.typescriptlang.org/"">TypeScript</a></strong>, a statically typed language and superset of JavaScript, has become our sensible default. Large-scale projects benefit most from the type safety. Our developers favor its minimal configuration management, well-integrated IDE support and its ability to refactor code safely and gradually adopt types."
React.js,adopt,language-and-frameworks,TRUE,"<p>In the avalanche of front-end JavaScript frameworks, <a href=""http://facebook.github.io/react/""><strong>React.js</strong></a> stands out due to its design around a reactive data flow. Allowing only one-way data binding greatly simplifies the rendering logic and avoids many of the issues that commonly plague applications written with other frameworks. We're seeing the benefits of React.js on a growing number of projects, large and small, while at the same time we continue to be concerned about the state and the future of other popular frameworks like <a href=""/radar/languages-and-frameworks/angularjs"">AngularJS</a>..</p>"
Redux,adopt,language-and-frameworks,TRUE,"<p>With the increasing complexity of single-page JavaScript applications, we have seen a more pressing need to make client-side state management predictable. <a href=""http://redux.js.org/""><strong>Redux</strong></a>, with its <a href=""http://redux.js.org/docs/introduction/ThreePrinciples.html"">three principles</a> of restrictions for updating state, has proven to be invaluable in a number of projects we have implemented. <a href=""https://egghead.io/courses/getting-started-with-redux"">Getting Started with Redux</a> and <a href=""https://egghead.io/courses/building-react-applications-with-idiomatic-redux"">idiomatic Redux</a> tutorials are a good starting point for new and experienced users. Its minimal library design has spawned a rich set of tools, and we encourage you to check out the <a href=""https://github.com/markerikson/redux-ecosystem-links"">redux-ecosystem-links</a> project for examples, middleware and utility libraries. We also particularly like the testability story: Dispatching actions, state transitions and rendering can be unit-tested separately from one another and with minimal amounts of mocking.</p>"
Angular,adopt,language-and-frameworks,TRUE,"<p>Angular, now in version 5, has improved steadily while providing backward compatibility along the way.</p>"
.NET Core,adopt,language-and-frameworks,TRUE,"<p>Many developers have confirmed that <a href=""http://www.microsoft.com/net/core""><strong>.NET Core</strong></a> has reached a level of maturity that makes it the default for .NET server applications. The open source .NET Core framework enables the development and deployment of .NET applications on Windows, macOS and Linux with first-class cross-platform tooling. Microsoft provides blessed Docker images which make it easy to deploy .NET Core applications in a containerized environment. Positive directions in the community and feedback from our projects indicate that .NET Core is the future for .NET development.</p>"
Node.js,adopt,language-and-frameworks,TRUE,"<p>Node.js is a lightweight web container that is a strong option for development of micro services and as a server to mobile and single-page web applications. Due to the asynchronous nature of node.js, developers are turning to promise libraries to simplify their application code. As the use of promises mature within the node.js community, we expect to see more applications developed for node.js. For those teams that are reluctant to try node.js in production, it is still worthwhile to consider node.js for development tasks like running JavaScript tests outside of the browser or generating static web content from tools like CoffeeScript, SASS, and LESS.</p>"
Electron.js,adopt,language-and-frameworks,TRUE,"<p>The Electron framework lets you write cross-platform desktop applications
using JavaScript, HTML and CSS. It is based on <a href=""https://nodejs.org/"" rel=""nofollow"">Node.js</a> and
<a href=""https://www.chromium.org"" rel=""nofollow"">Chromium</a> and is used by the <a href=""https://github.com/atom/atom"">Atom
editor</a> and many other <a href=""https://electronjs.org/apps"" rel=""nofollow"">apps</a>.</p>"
Spring Boot,adopt,language-and-frameworks,TRUE,"<p>A lot of work has gone into <a href=""http://projects.spring.io/spring-boot""><strong>Spring Boot</strong></a> to reduce complexity and dependencies, which largely alleviates our previous reservations. If you live in a Spring ecosystem and are moving to microservices, Spring Boot is now the obvious choice.</p>"
Swift,adopt,language-and-frameworks,TRUE,"<p>With the release of Swift 2, the language approached a level of maturity that provides the stability and performance required for most projects. A good number of libraries that support iOS development—<a href=""https://github.com/SwiftyJSON/SwiftyJSON"">SwiftyJSON</a>, <a href=""https://github.com/Quick/Quick"">Quick</a>, etc.—are now migrated over to Swift, which is where the rest of the applications should follow. Swift has now been open sourced, and we are seeing a community of developers dedicated to continuously improving development in iOS.</p>"
Python 3,adopt,language-and-frameworks,TRUE,"<p><strong>Python 3</strong> introduced many useful features that are not backward compatible with Python 2.x. It also removed numerous Python 2.x features that were maintained for backward compatibility, making Python 3 easier to learn and use and more consistent with the rest of the language. Our experience using Python 3 in&nbsp;domains such as machine learning and web application development shows that both the language and most of its <a href=""http://py3readiness.org/"">supporting libraries</a> have matured for adoption. We were able to fork and patch minor issues of existing libraries or avoided using incompatible Python 2.x libraries that had been abandoned. If you are developing in Python we strongly encourage you to use Python 3.</p>"
Cucumber,adopt,language-and-frameworks,TRUE,<p>Cucumber is a software tool used by computer programmers that supports behavior-driven development. Central to the Cucumber BDD approach is its plain language parser called Gherkin. It allows expected software behaviors to be specified in a logical language that customers can understand</p>
Karate,adopt,language-and-frameworks,TRUE,"<p>Unlike other automated API testing tools which require a fair amount of coding, even just to do basic stuff, Karate works out of the box. You can construct the most complex request-response operations with no knowledge of any programming language. All you have to do is to write the feature file using plain text Gherkin style.</p>"
Kotlin,trial,language-and-frameworks,TRUE,"<p><strong>Kotlin</strong> has experienced an <a href=""http://sogrady-media.redmonk.com/sogrady/files/2018/03/lang.rank_.118.png"">accelerated rate of adoption</a> and rapid growth of tooling support. Some of the reasons behind its popularity are its concise syntax, null safety, ease of transition from Java and interoperability with other JVM-based languages in general, and that it doubles as a great introductory language to functional programming. </p>"
Vue.js,assess,language-and-frameworks,TRUE,"<p>In the ever-changing world of front-end JavaScript frameworks, <a href=""https://vuejs.org/""><strong>Vue.js</strong></a> has gained a lot of ground as a lightweight alternative to <a href=""/radar/languages-and-frameworks/angularjs"">AngularJS</a>. It is designed to be a very flexible—and a less opinionated—library that offers a set of tools for building interactive web interfaces around concepts like modularity, components and reactive data flow. It has a low learning barrier, which makes it interesting for junior developers and beginners. Vue.js itself is not a full-blown framework; it is focused on the view layer only and therefore is easy to integrate with other libraries or existing projects.</p>"
React Native,assess,language-and-frameworks,TRUE,"<p>Yet another entrant into the cross-platform mobile development world, Facebook’s <a href=""https://facebook.github.io/react-native/""><strong>React Native</strong></a> brings the React.js programming model to iOS and Android developers. React Native programs are written in JavaScript, but unlike a hybrid framework such as Ionic, React Native gives developers access to native UI components on the target platform. This is an approach we’ve seen before (e.g., <a href=""http://calatrava.github.io/"">Calatrava</a>), but React Native has already inspired a substantial developer community and builds on the momentum generated by React.js. This framework could play a significant role in the future of mobile app development.</p>"
Go Language,assess,language-and-frameworks,TRUE,"<p>The <a href=""https://golang.org/""><b>Go language</b></a> gradually changed status from ""Just Another Language"" to a valuable tool in many projects. While steadfastly single paradigm in a world of increasingly complex languages, it seems to keep a nice balance between expressiveness, power, and simplicity.</p>"
WebAssembly,assess,language-and-frameworks,TRUE,"<p><a href=""http://webassembly.org/""><strong>WebAssembly</strong></a> is a big step forward in the capabilities of the browser as a code execution environment. Supported by all major browsers and backward compatible, it's a binary compilation format designed to run in the browser at near native speeds. It opens up the range of languages you can use to write front-end functionality, with early focus on C, C++ and Rust, and it's also an LLVM compilation target. When run in the sandbox, it can interact with JavaScript and shares the same permissions and security model. When used with <a href=""http://hacks.mozilla.org/2018/01/making-webassembly-even-faster-firefoxs-new-streaming-and-tiering-compiler/"">Firefox's new streaming compiler</a>, it also results in faster page initialization. Although it's still early days, this W3C standard is definitely one to start exploring.</p>"
Xamarin,hold,language-and-frameworks,TRUE,
Ionic Framework,hold,language-and-frameworks,TRUE,"<p><a href=""http://ionicframework.com/"">Ionic framework</a> is an open-source front-end framework that offers a library of mobile-optimized HTML, CSS and JavaScript components and tools for building highly interactive applications. It is built with SASS and optimized for AngularJS.</p>"
QT,hold,language-and-frameworks,TRUE,"<p>Qt is a cross-platform application development framework for desktop, embedded and mobile. Supported Platforms include Linux, OS X, Windows, VxWorks, QNX, Android, iOS, BlackBerry, Sailfish OS and others.</p>"
